127.0.0.1, 2015-12-04 13:13:30, POST, /project_bacon/default/load_games, HTTP/1.1, 200, 0.077385
127.0.0.1, 2015-12-04 13:13:30, POST, /project_bacon/default/load_game_names, HTTP/1.1, 200, 0.214960
127.0.0.1, 2015-12-04 13:13:30, GET, /project_bacon/static/css/images/ui-bg_highlight-soft_100_feeebd_1x100.png, HTTP/1.1, 404, 0.000379
127.0.0.1, 2015-12-04 13:13:45, POST, /project_bacon/default/load_games, HTTP/1.1, 200, 0.056432
127.0.0.1, 2015-12-04 13:13:45, POST, /project_bacon/default/load_game_names, HTTP/1.1, 200, 0.238708
127.0.0.1, 2015-12-04 13:13:56, POST, /project_bacon/default/load_games, HTTP/1.1, 200, 0.080796
127.0.0.1, 2015-12-04 13:13:56, POST, /project_bacon/default/load_game_names, HTTP/1.1, 200, 0.213349
127.0.0.1, 2015-12-04 13:14:07, POST, /project_bacon/default/load_games, HTTP/1.1, 200, 0.112228
127.0.0.1, 2015-12-04 13:14:07, POST, /project_bacon/default/load_game_names, HTTP/1.1, 200, 0.285221
127.0.0.1, 2015-12-04 13:14:24, POST, /project_bacon/default/load_games, HTTP/1.1, 200, 0.073200
127.0.0.1, 2015-12-04 13:14:24, POST, /project_bacon/default/load_game_names, HTTP/1.1, 200, 0.206805
